Dateiname,Bild,Erkannte Objekte
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8d6995650f8efaa7090e028182b43453.jpg,Bild 537,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8da48fe73093cc65901cfa82963dbb16.jpg,Bild 538,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8dee41bcb101ae1bcd19fbab82a5c16a.jpg,Bild 539,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8e0e187309ee830810749faf00944d54.jpg,Bild 540,"factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8e1504769dd11d0f0f9564a378ff48ee.jpg,Bild 541,"agricultural labourer, sky"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8e8d629a7f52b4c97a0c25940d847aac.jpg,Bild 542,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8f0b6a23caccd198cdfb618b5b2a5c7e.jpg,Bild 543,"agricultural labourer, headscarf, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8f8c8ce72aaa7adfd6122ea6f31cb90d.jpg,Bild 544,"agricultural labourer, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9-후대들은-모르게하자-Lets-Not-Let-Future-Generations-Kno-400x400.png,Bild 545,"office worker, hammer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/905fc3e9fc17b998cecb5b8dea016a07.jpg,Bild 546,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/907d53596257e68e3c597920fdac6fb6.jpg,Bild 547,"factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/90c4d1904aacc2c849f28dbc94271ebc.jpg,Bild 548,"factory worker, agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/90c6a2c7a1d2b86f3305299f1309fe3e.jpg,Bild 549,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/90cd837060047657ec00ee1a0ea94f33.jpg,Bild 550,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/912033d4f1dd8a83d3ab6fe82d626cdd.jpg,Bild 551,"agricultural labourer, flag, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/914416834802e1c02a9ee32370114a24.jpg,Bild 552,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/917f326e6a60c7a40cca12f8cb760699.jpg,Bild 553,"factory worker, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/91a6510f4ddf1c63324d66c7dcbb67b4.jpg,Bild 554,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/92129bb6808a286bc338e07ca62aede1.jpg,Bild 555,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/92580265c02b7a0c8dd2f70799ee8891.jpg,Bild 556,"flag, headscarf, agricultural labourer, book"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/928e5fcd9492ce24c23b5e61e32b32d2.jpg,Bild 557,"horse, flag, agricultural labourer, factory worker, weapon, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/933f6ae7d2ae1ce8db445270bf8b3258.jpg,Bild 558,"factory worker, crane, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9364afb7b6b7ec1dccbd6e5ee8c005ec.jpg,Bild 559,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9378c3e357144c7fac426a87244b02e5.jpg,Bild 560,"agricultural labourer, headscarf, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/938b0a9ffae19b246a61425355c19826.jpg,Bild 561,"star, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/93943c2920e9dabb5506c5f7a0a2cf83.jpg,Bild 562,"agricultural labourer, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/94097eef268ee67e95251f7fff5a1b2d.jpg,Bild 563,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9425ceac8326a54e9c44cdd7fc4ca152.jpg,Bild 564,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9444b6a8d62ba9e64fdb576e5da619de.jpg,Bild 565,"agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9472e0ef65fdf6baf95fc832337484b7.jpg,Bild 566,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/94a20da08b13d0088456bd00b62c0553.jpg,Bild 567,"flag, factory worker, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9520ccf0c5ddb20807df672462336bb4.jpg,Bild 568,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/95a5014ee53939d9a39aaad3f7e15c58.jpg,Bild 569,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/95c25f098c9d5ee65068c678a553f658.jpg,Bild 570,"agricultural labourer, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9663104063497f63b0e47a2b11dcee4b.jpg,Bild 571,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/96a0e1c7be3c15234b01124abd28105a.jpg,Bild 572,"agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/96a7861c1a33fff7dc7ad74de24fa99e.jpg,Bild 573,"star, flag, star, factory worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/96b2076cda8bfeeac4e2bdee05fe317b.jpg,Bild 574,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/96b829f92d6d5552242caeef2282db1b.jpg,Bild 575,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/96cc9f00e771f815ca0ba4acb83f9b82.jpg,Bild 576,"factory worker, factory worker, flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/96ede285af996c5415493fc5fbbf80ed.jpg,Bild 577,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/970eb48f23f71852ccb1e2007c3ca1b6.jpg,Bild 578,"agricultural labourer, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/97171ff855f83a27b29e4f6176e0b220.jpg,Bild 579,"military, factory worker, factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/976e75da442144980c3f9e793a1a0404.jpg,Bild 580,"machinery, sky"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/977863ca8d60a13e33c23ece51b51f38.jpg,Bild 581,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/97ae493368e58f2041fad5e55541fa3a.jpg,Bild 582,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/97b4fefa8ca2e200cf854f75e4249b89.jpg,Bild 583,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/97c85920196c62112ea40834fbb08409.jpg,Bild 584,"factory worker, headscarf, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/97ccce97ceda9322dc999d0e48578dbe.jpg,Bild 585,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9852ba98f1719d2219fa7c5ac0641bc6.jpg,Bild 586,"agricultural labourer, agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/987f58e2309a9d0bf851bf7694801e09.jpg,Bild 587,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9884a441e2fd4d238b6e5d7d1cd24581.jpg,Bild 588,"military, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/989060f17da9e509a6355d40e277ddb9.jpg,Bild 589,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/98be5cbabef0fde8996442e1b16ed5c1.jpg,Bild 590,"factory worker, flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/98be75af82efe0ea44a8852e8a226551.jpg,Bild 591,"agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/98c53948e73e369338ad8c0daf94af77.jpg,Bild 592,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/994e28d69e406a4f8b47ba07b9e6109a.jpg,Bild 593,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9a4b40400c9ec8d5eb808bb295c02adb.jpg,Bild 594,"factory worker, factory worker, military, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9a7e3aee38167d63eab5e943fc3bc4fd.jpg,Bild 595,"agricultural labourer, factory worker, sky"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9a7f161e2f1c2086d4b9d867d216afbd.jpg,Bild 596,"agricultural labourer, headscarf, agricultural labourer, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9ac63c4ab56816640207ea601af3e0d3.jpg,Bild 597,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9b17f31dff808e546152f9e046f34d4f.jpg,Bild 598,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9b2bb14ac1fbda563292b36481f78528.jpg,Bild 599,"factory worker, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9b6f6987cd5796901d004a766dccc28a.jpg,Bild 600,machinery
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9b78166c2c0eb49e8c8780eb87c89936.jpg,Bild 601,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9b8da148f245ec84414114197566ad93.jpg,Bild 602,weapon
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9be36f06a1fe28b4a2ace61ac70d78b3.jpg,Bild 603,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9c31be96378d0c3a799cc7fe0f0956bc.jpg,Bild 604,"factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9c33921812cb36178b11a3a2fdeca7bd.jpg,Bild 605,"agricultural labourer, agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9c47f5cc3b9fc667cc7c26419f61abfd.jpg,Bild 606,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9c68e9921e38c7bf0bc7d92423efb496.jpg,Bild 607,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9ca70f316ac0984b36f08951c02136ee.jpg,Bild 608,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9d4ef608f995f8c37be4e4d72adb067e.jpg,Bild 609,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9d828aa423d896360f029d7571ae0809.jpg,Bild 610,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9d8d77e0d9c679aa016045fa8184dd7d.jpg,Bild 611,"agricultural labourer, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9dcedafbe4856d8976a701b948394239.jpg,Bild 612,sky
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9e113f4edf009e63e347f01553e98557.jpg,Bild 613,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9e334ebbadf8941f7453bc98c99507db.jpg,Bild 614,"agricultural labourer, agricultural labourer, agricultural labourer, headscarf, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9e4bfd045adfd670d8ed6135067320f1.jpg,Bild 615,"agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9e4faa4bc62da003c11fcd5fb5450d0c.jpg,Bild 616,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9e5ddee0a86dc7463424458375f5e0bd.jpg,Bild 617,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9e8bc0314581ddc9cf565bfa8bdde9ec.jpg,Bild 618,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9ebd9b0ebf67af7a9d581941687d7d80.jpg,Bild 619,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9eecefbb2e520b73b84af80d1af34e60.jpg,Bild 620,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9f27044d546388b9ca0ddcc0651c2498.jpg,Bild 621,"factory worker, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9fbae5892e1c960a2191ed3d5412994c.jpg,Bild 622,"headscarf, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/9fd1f896db73b662bedd7f11fe573374.jpg,Bild 623,"book, factory worker, sickle"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a020b78dfe3c2ff5059512a1a307a9ec.jpg,Bild 624,"plane, flag, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a03bedb2847b0af7cfb30f462be442cf.jpg,Bild 625,"factory worker, agricultural labourer, agricultural labourer, military, factory worker, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a08039b6404cc1cdb90adce90da7cafe.jpg,Bild 626,"headscarf, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a10e28c173ca6c051b72452fe4686872.jpg,Bild 627,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a10e3f22141b92c7d4ccc61ae7a883fc.jpg,Bild 628,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a1531554355475816191bf9cec6c40ae.jpg,Bild 629,"agricultural labourer, headscarf, headscarf, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a1634b8af83e72d4061368ba94cc62a8.jpg,Bild 630,book
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a1c22ded18633da6d62d3ad8bfdb22da.jpg,Bild 631,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a1e82b9f8e6645793ce88fd3c08b0a85.jpg,Bild 632,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a1ecb110c4a4a41808bc7cb78d7a772b.jpg,Bild 633,"flag, sickle"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a2227d273a1b123568da167deed3aaa0.jpg,Bild 634,"agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a28f7739c6fa8c628a0343ce454448d2.jpg,Bild 635,building
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a2ce199a812ca59574eb9fc7fd078732.jpg,Bild 636,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a32e7884c2823283418484ab14c34cfc.jpg,Bild 637,"factory worker, flag, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a35c94d404ffdcdcc6dac00521dc968a.jpg,Bild 638,"agricultural labourer, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a36185cfe902afaed24929a34c935930.jpg,Bild 639,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a472017be64735d921e91dc07ce37e66.jpg,Bild 640,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a4e6fe5b6e8d54af841311627b22dffa.jpg,Bild 641,"agricultural labourer, agricultural labourer, office worker, flag, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a4fb9e858073cf48123b5eb345f1c995.jpg,Bild 642,"military, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a52eccb22f3784aac8df19ed938631a0.jpg,Bild 643,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a53b073c19d836f2672e5b162f4c582f.jpg,Bild 644,"factory worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a59cc7be28fad8ef00f655d981d6f8c4.jpg,Bild 645,"agricultural labourer, agricultural labourer, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a5c860d9a1ccb7116fd03d272ebea622.jpg,Bild 646,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a60e8d0113bc241798849c58c1c6f9c1.jpg,Bild 647,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a61ba5724c65b3aa6b32a56493904cc1.jpg,Bild 648,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a64b76cbb61e731b4dbb5cc2adfc138f.jpg,Bild 649,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a69799bbe0139350b912a026af2c3506.jpg,Bild 650,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a6c6212992514053a8d5ca1b7ad50873.jpg,Bild 651,"factory worker, building"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a735e9f451402e9220bd34ff5f836ffc.jpg,Bild 652,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a73c7a98ecb1b00352009fef9bb9d919.jpg,Bild 653,office worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a744e05d475e5176872393d045841982.jpg,Bild 654,"agricultural labourer, factory worker, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a74ca85b1456d69235057b0b61dc5733.jpg,Bild 655,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a751ac6e6280448fb8cbd1601633b8cf.jpg,Bild 656,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a7adf3030741be4b1362821d0a8b6b2e.jpg,Bild 657,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a92ce25ea010728b0cab2cfc3c942756.jpg,Bild 658,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a96ed0f22f4e01d834bd4c99a85fb7c9.jpg,Bild 659,"agricultural labourer, wheat, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/a9bbac530e4e51b5ba6be020be3c3e08.jpg,Bild 660,"agricultural labourer, headscarf, headscarf, headscarf, wheat"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/aafb830683c8e54eb8f0bc499641afa7.jpg,Bild 661,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ab5a697c22f8848b655fb4ae2c0b23ec.jpg,Bild 662,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ab8e9afd3e6355b96fd8381b13798d25.jpg,Bild 663,"agricultural labourer, agricultural labourer, headscarf, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ab9f10e49c767cbc9a3dfae14334d063.jpg,Bild 664,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/abba7194be212129519ff4ada9343bff.jpg,Bild 665,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/abd1a5a6f6fb1873c3e7c05c4e2d4762.jpg,Bild 666,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/abeb1656fe5bbeab50671824e1cd8a42.jpg,Bild 667,"factory worker, crane, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/abf1f5c030506772fb65c3a1aa25529b.jpg,Bild 668,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ac890545c3ef0a6d219d26f74c8a557d.jpg,Bild 669,"flag, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/acdd190819e252f0dddf59f9de43a159.jpg,Bild 670,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/acef60c67d21c9bea0759bd2b6b4deed.jpg,Bild 671,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/acf1f2d7b3a04d3b80186c6f85c9881f.jpg,Bild 672,"factory worker, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/acf67d44bd6261da10a8ba73dfbf1f89.jpg,Bild 673,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ad1198487df153d76dc4fe0b4a8d47dd.jpg,Bild 674,"flag, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ad1ac1444ba3325fd1bbe1d7a400bc37.jpg,Bild 675,"agricultural labourer, weapon, machinery, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ad5d47f376450b147809e218aa6873c2.jpg,Bild 676,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ada6801a88a955d71ee8957205955087.jpg,Bild 677,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/adbade799b1159c78ec5e6b52c2e09d7.jpg,Bild 678,"flag, agricultural labourer, headscarf, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/adbde8c55d7b568bc93421265692b99f.jpg,Bild 679,"factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/addd18a8f99c9e56019dbb8a818d7e42.jpg,Bild 680,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/adea65a4b671bcd242c09feac62b59c9.jpg,Bild 681,"factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ae0019abd81b6535751a8901c24da576.jpg,Bild 682,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/ae14a5fee1cd12c2abb6d503a8052b01.jpg,Bild 683,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/aecff1230f2abdcea5433d644649d316.jpg,Bild 684,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/af44ea399cd667413110a141c59f05b9.jpg,Bild 685,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/af68c37a831e776f8993427ca63334ea.jpg,Bild 686,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b03bf615aa97b5a4ae34eb871aed7ac4.jpg,Bild 687,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b07eaedd3d3af4b731ecc81c10f13549.jpg,Bild 688,"agricultural labourer, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b08baf7b2bc36c7cbf2685dba3a166ea.jpg,Bild 689,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b09c0d39b5ffc4aa672b65c83c991075.jpg,Bild 690,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b0d8f44463773188e12b4be891a9b212.jpg,Bild 691,"machinery, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b11e0f94f8e51101adbca1121e991153.jpg,Bild 692,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b1516f271a7a1ddd255e95d6530b95a1.jpg,Bild 693,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b1d4e8c2b67e2ef482090dcb091c5140.jpg,Bild 694,"agricultural labourer, sky"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b27de2607e96d69cc57d7405c3d15d83.jpg,Bild 695,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b30ff2747a6cdcac899c476603e2f91b.jpg,Bild 696,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b3165b9f69d7128399f9c7ffec94a5ec.jpg,Bild 697,"weapon, factory worker, factory worker, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b33b4659379600d8c256e28fd745616a.jpg,Bild 698,"agricultural labourer, flag, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b3e7043e59bc2b012f0be095ce074742.jpg,Bild 699,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b41c6694c5812f362d673ab1e97ec251.jpg,Bild 700,"agricultural labourer, factory worker, hammer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b4383df70884d71e94ccd7364ea1ba25.jpg,Bild 701,"flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b4b48ac7508917aed8f7d7f5635bd2d1.jpg,Bild 702,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b4da1c7e79fc380b3ad8bb68efb2ca1a.jpg,Bild 703,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b598060ab819ddddfac98ec851f92db8.jpg,Bild 704,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b5bc02a9a4c43ce0ebcd1bd3779fb0f7.jpg,Bild 705,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b5be895dba0c7e41ce9b1caf8470c97d.jpg,Bild 706,"agricultural labourer, weapon, agricultural labourer, agricultural labourer, agricultural labourer, weapon, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b5f70c039144a39cdfd2bde20853b7c2.jpg,Bild 707,"agricultural labourer, sky"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b608a8153bf8a75f90b40c7194f019f2.jpg,Bild 708,"factory worker, hammer, flag, sickle, agricultural labourer, wheat, flag, office worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b6567d7f2f40112dc5deb48a2315a936.jpg,Bild 709,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b69fe36a9b7e0e67dad684fd7299dc5d.jpg,Bild 710,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b6a8e4cee4d0cc1896c7a16db6b192e6.jpg,Bild 711,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b70be7cda7bc0e5f3f3929c2f9cf4af0.jpg,Bild 712,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b7cbf068bff16a40615bdaa114c69bb6.jpg,Bild 713,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b83d645bb93335c75f4679b4331cd16c.jpg,Bild 714,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b8c91973b6c7daf99178249e419ec126.jpg,Bild 715,"agricultural labourer, factory worker, factory worker, factory worker, building"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/b956bfe5fd4eb2aa6c65543a4bdfb747.jpg,Bild 716,"agricultural labourer, headscarf"
